A,01,a,i,"Trade in goods, by main world traders",Import
A,01,a,ii,"Trade in goods, by main world traders",Import
A,01,b,i,"Trade in goods, by main world traders",Export
A,01,b,ii,"Trade in goods, by main world traders",Export
A,01,c,i,"Trade in goods, by main world traders",Trade-balance
A,01,c,ii,"Trade in goods, by main world traders",Trade-balance
A,02,a,i,"International trade, by reporting country, total product",Import
A,02,a,ii,"International trade, by reporting country, total product",Import
A,02,b,i,"International trade, by reporting country, total product",Export
A,02,b,ii,"International trade, by reporting country, total product",Export
A,02,c,i,"International trade, by reporting country, total product",Trade-balance
A,02,c,ii,"International trade, by reporting country, total product",Trade-balance
A,03,a,i,Share of trade with EU28,Import
A,03,a,ii,Share of trade with EU28,Import
A,03,b,i,Share of trade with EU28,Export
A,03,b,ii,Share of trade with EU28,Export
A,04,a,i,"Trade volume indices, by reporting country",Import
A,04,a,ii,"Trade volume indices, by reporting country",Import
A,04,b,i,"Trade volume indices, by reporting country",Export
A,04,b,ii,"Trade volume indices, by reporting country",Export
A,04,c,i,"Trade volume indices, by reporting country",Trade-balance
A,04,c,ii,"Trade volume indices, by reporting country",Trade-balance
A,05,a,i,"Trade unit value indices, by reporting country",Import
A,05,a,ii,"Trade unit value indices, by reporting country",Import
A,05,b,i,"Trade unit value indices, by reporting country",Export
A,05,b,ii,"Trade unit value indices, by reporting country",Export
A,05,c,i,"Trade unit value indices, by reporting country",Trade-balance
A,05,c,ii,"Trade unit value indices, by reporting country",Trade-balance
A,06,a,i,"International trade of food, drinks and tobacco (SITC 0+1), by reporting country",Import
A,06,a,ii,"International trade of food, drinks and tobacco (SITC 0+1), by reporting country",Import
A,06,b,i,"International trade of food, drinks and tobacco (SITC 0+1), by reporting country",Export
A,06,b,ii,"International trade of food, drinks and tobacco (SITC 0+1), by reporting country",Export
A,06,c,i,"International trade of food, drinks and tobacco (SITC 0+1), by reporting country",Trade-balance
A,06,c,ii,"International trade of food, drinks and tobacco (SITC 0+1), by reporting country",Trade-balance
A,07,a,i,"International trade of raw materials (SITC 2+4), by reporting country",Import
A,07,a,ii,"International trade of raw materials (SITC 2+4), by reporting country",Import
A,07,b,i,"International trade of raw materials (SITC 2+4), by reporting country",Export
A,07,b,ii,"International trade of raw materials (SITC 2+4), by reporting country",Export
A,07,c,i,"International trade of raw materials (SITC 2+4), by reporting country",Trade-balance
A,07,c,ii,"International trade of raw materials (SITC 2+4), by reporting country",Trade-balance
A,08,a,i,"International trade of mineral fuels, lubricants and related materials (SITC 3), by reporting country",Import
A,08,a,ii,"International trade of mineral fuels, lubricants and related materials (SITC 3), by reporting country",Import
A,08,b,i,"International trade of mineral fuels, lubricants and related materials (SITC 3), by reporting country",Export
A,08,b,ii,"International trade of mineral fuels, lubricants and related materials (SITC 3), by reporting country",Export
A,08,c,i,"International trade of mineral fuels, lubricants and related materials (SITC 3), by reporting country",Trade-balance
A,08,c,ii,"International trade of mineral fuels, lubricants and related materials (SITC 3), by reporting country",Trade-balance
A,09,a,i,"International trade of chemicals and related products (SITC 5), by reporting country",Import
A,09,a,ii,"International trade of chemicals and related products (SITC 5), by reporting country",Import
A,09,b,i,"International trade of chemicals and related products (SITC 5), by reporting country",Export
A,09,b,ii,"International trade of chemicals and related products (SITC 5), by reporting country",Export
A,09,c,i,"International trade of chemicals and related products (SITC 5), by reporting country",Trade-balance
A,09,c,ii,"International trade of chemicals and related products (SITC 5), by reporting country",Trade-balance
A,10,a,i,"International trade of machinery and transport equipment (SITC 7), by reporting country",Import
A,10,a,ii,"International trade of machinery and transport equipment (SITC 7), by reporting country",Import
A,10,b,i,"International trade of machinery and transport equipment (SITC 7), by reporting country",Export
